,0.7676666667,11,,0.7322,,12,"[{Conv kernel_size:[3, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[1, 7] stride:[2, 2] num_filters:36}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 5] stride:[1, 1] num_filters:36}, {Conv kernel_size:[5, 3] stride:[3, 3] num_filters:24}, {Conv kernel_size:[3, 1] stride:[3, 3] num_filters:48}, {Conv kernel_size:[3, 1] stride:[2, 2] num_filters:64}, {Conv kernel_size:[5, 3] stride:[3, 3] num_filters:24}, {Conv kernel_size:[7, 3] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 1] stride:[2, 2] num_filters:36}, {Conv kernel_size:[1, 5] stride:[3, 3] num_filters:36}, {Conv kernel_size:[1, 5] stride:[3, 3] num_filters:36}]"
,,12,,0.7358,,13,"[{Conv kernel_size:[3, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[1, 7] stride:[2, 2] num_filters:36}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 5] stride:[1, 1] num_filters:36}, {Conv kernel_size:[5, 3] stride:[3, 3] num_filters:24}, {Conv kernel_size:[3, 1] stride:[3, 3] num_filters:48}, {Conv kernel_size:[3, 1] stride:[2, 2] num_filters:64}, {Conv kernel_size:[5, 3] stride:[3, 3] num_filters:24}, {Conv kernel_size:[7, 3] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 1] stride:[2, 2] num_filters:36}, {Conv kernel_size:[1, 5] stride:[3, 3] num_filters:36}, {Conv kernel_size:[1, 5] stride:[3, 3] num_filters:36}, {Conv kernel_size:[5, 1] stride:[1, 1] num_filters:64}]"
,,13,,0.7397,,14,"[{Conv kernel_size:[3, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[1, 7] stride:[2, 2] num_filters:36}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 5] stride:[1, 1] num_filters:36}, {Conv kernel_size:[5, 3] stride:[3, 3] num_filters:24}, {Conv kernel_size:[3, 1] stride:[3, 3] num_filters:48}, {Conv kernel_size:[3, 1] stride:[2, 2] num_filters:64}, {Conv kernel_size:[5, 3] stride:[3, 3] num_filters:24}, {Conv kernel_size:[7, 3] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 1] stride:[2, 2] num_filters:36}, {Conv kernel_size:[1, 5] stride:[3, 3] num_filters:36}, {Conv kernel_size:[1, 5] stride:[3, 3] num_filters:36}, {Conv kernel_size:[5, 1] stride:[1, 1] num_filters:64}, {Conv kernel_size:[3, 1] stride:[2, 2] num_filters:64}]"
,,14,,0.7343,0.7663,15,"[{Conv kernel_size:[3, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[1, 7] stride:[2, 2] num_filters:36}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 5] stride:[1, 1] num_filters:36}, {Conv kernel_size:[5, 3] stride:[3, 3] num_filters:24}, {Conv kernel_size:[3, 1] stride:[3, 3] num_filters:48}, {Conv kernel_size:[3, 1] stride:[2, 2] num_filters:64}, {Conv kernel_size:[5, 3] stride:[3, 3] num_filters:24}, {Conv kernel_size:[7, 3] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 1] stride:[2, 2] num_filters:36}, {Conv kernel_size:[1, 5] stride:[3, 3] num_filters:36}, {Conv kernel_size:[1, 5] stride:[3, 3] num_filters:36}, {Conv kernel_size:[5, 1] stride:[1, 1] num_filters:64}, {Conv kernel_size:[3, 1] stride:[2, 2] num_filters:64}, {Conv kernel_size:[1, 7] stride:[2, 2] num_filters:36}]"
,,15,,0.525,,1,"[{Conv kernel_size:[1, 3] stride:[3, 3] num_filters:48}]"
,,16,,0.5799,,2,"[{Conv kernel_size:[1, 3] stride:[3, 3] num_filters:48}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}]"
,,17,,0.6554,,3,"[{Conv kernel_size:[1, 3] stride:[3, 3] num_filters:48}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 5] stride:[1, 1] num_filters:24}]"
,,18,,0.6671,,4,"[{Conv kernel_size:[1, 3] stride:[3, 3] num_filters:48}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 5] stride:[1, 1] num_filters:24}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}]"
,,19,,0.6712,,5,"[{Conv kernel_size:[1, 3] stride:[3, 3] num_filters:48}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 5] stride:[1, 1] num_filters:24}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[1, 3] stride:[3, 3] num_filters:48}]"
,,20,,0.6851,,6,"[{Conv kernel_size:[1, 3] stride:[3, 3] num_filters:48}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 5] stride:[1, 1] num_filters:24}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[1, 3] stride:[3, 3] num_filters:48}, {Conv kernel_size:[7, 5] stride:[1, 1] num_filters:36}]"
