,0.7719,11,,0.7016,,12,"[{Conv kernel_size:[3, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[1, 7] stride:[2, 2] num_filters:36}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 5] stride:[1, 1] num_filters:36}, {Conv kernel_size:[5, 3] stride:[3, 3] num_filters:24}, {Conv kernel_size:[3, 1] stride:[3, 3] num_filters:48}, {Conv kernel_size:[3, 1] stride:[2, 2] num_filters:64}, {Conv kernel_size:[5, 3] stride:[3, 3] num_filters:24}, {Conv kernel_size:[7, 3] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 1] stride:[2, 2] num_filters:36}, {Conv kernel_size:[1, 5] stride:[3, 3] num_filters:36}, {Conv kernel_size:[1, 5] stride:[3, 3] num_filters:36}]"
,,12,,0.7051,,13,"[{Conv kernel_size:[3, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[1, 7] stride:[2, 2] num_filters:36}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 5] stride:[1, 1] num_filters:36}, {Conv kernel_size:[5, 3] stride:[3, 3] num_filters:24}, {Conv kernel_size:[3, 1] stride:[3, 3] num_filters:48}, {Conv kernel_size:[3, 1] stride:[2, 2] num_filters:64}, {Conv kernel_size:[5, 3] stride:[3, 3] num_filters:24}, {Conv kernel_size:[7, 3] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 1] stride:[2, 2] num_filters:36}, {Conv kernel_size:[1, 5] stride:[3, 3] num_filters:36}, {Conv kernel_size:[1, 5] stride:[3, 3] num_filters:36}, {Conv kernel_size:[5, 1] stride:[1, 1] num_filters:64}]"
,,13,,0.7047,,14,"[{Conv kernel_size:[3, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[1, 7] stride:[2, 2] num_filters:36}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 5] stride:[1, 1] num_filters:36}, {Conv kernel_size:[5, 3] stride:[3, 3] num_filters:24}, {Conv kernel_size:[3, 1] stride:[3, 3] num_filters:48}, {Conv kernel_size:[3, 1] stride:[2, 2] num_filters:64}, {Conv kernel_size:[5, 3] stride:[3, 3] num_filters:24}, {Conv kernel_size:[7, 3] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 1] stride:[2, 2] num_filters:36}, {Conv kernel_size:[1, 5] stride:[3, 3] num_filters:36}, {Conv kernel_size:[1, 5] stride:[3, 3] num_filters:36}, {Conv kernel_size:[5, 1] stride:[1, 1] num_filters:64}, {Conv kernel_size:[3, 1] stride:[2, 2] num_filters:64}]"
,,14,,0.699,0.7974,15,"[{Conv kernel_size:[3, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[1, 7] stride:[2, 2] num_filters:36}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 5] stride:[1, 1] num_filters:36}, {Conv kernel_size:[5, 3] stride:[3, 3] num_filters:24}, {Conv kernel_size:[3, 1] stride:[3, 3] num_filters:48}, {Conv kernel_size:[3, 1] stride:[2, 2] num_filters:64}, {Conv kernel_size:[5, 3] stride:[3, 3] num_filters:24}, {Conv kernel_size:[7, 3] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 1] stride:[2, 2] num_filters:36}, {Conv kernel_size:[1, 5] stride:[3, 3] num_filters:36}, {Conv kernel_size:[1, 5] stride:[3, 3] num_filters:36}, {Conv kernel_size:[5, 1] stride:[1, 1] num_filters:64}, {Conv kernel_size:[3, 1] stride:[2, 2] num_filters:64}, {Conv kernel_size:[1, 7] stride:[2, 2] num_filters:36}]"
,,15,,0.5246,,1,"[{Conv kernel_size:[1, 3] stride:[3, 3] num_filters:48}]"
,,16,,0.6144,,2,"[{Conv kernel_size:[1, 3] stride:[3, 3] num_filters:48}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}]"
,,17,,0.6889,,3,"[{Conv kernel_size:[1, 3] stride:[3, 3] num_filters:48}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 5] stride:[1, 1] num_filters:24}]"
,,18,,0.7037,,4,"[{Conv kernel_size:[1, 3] stride:[3, 3] num_filters:48}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 5] stride:[1, 1] num_filters:24}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}]"
,,19,,0.6717,,5,"[{Conv kernel_size:[1, 3] stride:[3, 3] num_filters:48}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 5] stride:[1, 1] num_filters:24}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[1, 3] stride:[3, 3] num_filters:48}]"
,,20,,0.6903,,6,"[{Conv kernel_size:[1, 3] stride:[3, 3] num_filters:48}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[7, 5] stride:[1, 1] num_filters:24}, {Conv kernel_size:[1, 7] stride:[1, 1] num_filters:48}, {Conv kernel_size:[1, 3] stride:[3, 3] num_filters:48}, {Conv kernel_size:[7, 5] stride:[1, 1] num_filters:36}]"
